Składniki	Складники
Kawałki magicznej rudy zasypują okolicę...	Шматки магічної руди розлітаються навколо...
Odpadła 1 bryłka magicznej rudy!	Видобуто 1 самородок магічної руди!
Odpadły 2 bryłki magicznej rudy!	Видобуто 2 самородки магічної руди!
Odpadły 3 bryłki magicznej rudy!	Видобуто 3 самородки магічної руди!
Lokvar oddał ci nadmiar roślin.	Локвар повернув вам зайві рослини.
Czujesz się osłabiony i zdezorientowany.	Ви відчуваєте себе ослабленим і дезорієнтованим.
Schemat	Креслення
Receptura	Кулінарний рецепт
Przepis	Кулінарний рецепт
Składniki:	Інгредієнти:
Właściwości przedmiotu:	Властивості предмету
Wymagane Kowalstwo:	Потрібне ковальство:
Wymagane łuczarstwo:	Потрібна навичка виготовлення луків:
Wymagane Alchemia:	Потрібна навичка алхімії:
Stworzono:	Створено:
Złoże soli	Поклади солі
Worki Albyna	Мішки Альбіна
Łóżko Rasco	Ліжко Раско
Koksownik	Жаровня
Pokój Recona	Кімната Рікона
Kufer Recona	Скриня Рікона
Jabłko	Яблуко
Skrzynia	Ящик
Skrzynia na winogrona	Ящик для винограду
Palma	Пальма
Kufer Rodrigo	Скриня Родріго
Kufer Roya	Скриня Роя
Kufer Svena	Скриня Свена
Beczka z piwem	Бочка з пивом
Kufer Arethe	Скриня Арета
Kufer Jona	Скриня Йона
Kosz na śmieci	Кошик для сміття
Sarkofag	Саркофаг
Arena	Арена
Skrzynia z pancerzami	Скриня з обладунками
Przebrany krzak winogron	Обірваний кущ винограду
Dorodny krzak winogron	Великий кущ винограду
Tablica ogłoszeń	Дошка оголошень
Szczurza nora	Щюряча нора
Beczka	Бочка
Warsztat	Верстак
Skrzynia	Дерев'яна скриня
Kufer Salviego	Скриня Сальві
Hamak	Гамак
Skrzynia z rybami	Ящик з рибою
Obraz	Картина
Skrzynia ludzi Volkera	Скриня людей Волкера
Beczka z wodą	Бочка з водою
Obmyj się	Вмитися
Skrzynia Dacka	Скриня Дака
Posąg Adanosa	Вівтар Аданоса
Stół do pisania	Письмовий стіл
Wyeksploatowane złoże	Вичерпане родовище
Obfite złoże	Багате родовище
Dziennik badań, tom I	Дослідницький журнал. Том I
Kufer Einara	Скриня Ейнара
Kufer Davisa	Скриня Девіса
Kufer Gerstanda	Скриня Герстанда
Beczka fortuny	Бочка удачі
Złoże żelaza	Родовище заліза
Obalone drzewo	Повалене дерево
Wyeksploatowane drzewo	Виснажене дерево
Złoże srebra	Родовище срібла
Złoże magicznej rudy	Родовище магічної руди
Stara skrzynia	Стара скриня
Ciosaj Innosy	Тесати Інносів
Zakop grób	Закопати могилу
Odkop grób	Розкопати могилу
Zbierz krew	Зібрати кров
Schowaj się w beczce	Сховатись у бочці
Przesuń skrzynie	Перемістити ящики
Otwórz trumnę	Відкрити труну
Odbierz rzeczy	Забрати предмети
Przeszukaj krzaki	Шукати кущі
Podpal beczkę	Підпалити діжку
Zniszcz beczkę	Розламати діжку
Zniszcz skrzynkę	Розламати ящик
Poszukaj skarbu	Шукати скарб
Zacznij kopać	Почати копати
Przybij ogłoszenie	Прибити оголошення
Włóż miecz	Опустити меч
Kopnij	Стусан
Rozpal ognisko	Розпалити багаття
Zetnij	Зрубати
Usiądź przy ognisku	Сісти біля багаття
Przesuń łódkę	Перевернути човен
Ugaś ogień	Загасити вогонь
Zacznij pracować	Приступити до роботи
Podłóż kości	Покласти кістки
Rozlej krew	Змастити кров'ю
Zniszcz gniazdo	Знищити гніздо
Zasadź nasiona	Посадити насіння
'Dopraw' potrawkę Bertera	'Приправити' страву Бертера
Popchnij armatę	Штовхати гармату
Podpal wóz	Підпалити візок
Przygotuj pułapkę	Підготувати пастку
Podłóż beczkę	Поставити діжку
Otwórz drzwi	Відкрити двері
Podłóż skrzynkę	Покласти скриньку
Wejdź do beczki	Залізти в бочку
Zbadaj deski	Оглянути дошки
Zbadaj linę	Оглянути мотузку
Zbadaj kamienie	Оглянути каміння
Zbadaj tarcze	Оглянути щити
Zbadaj znak	Оглянути знак
Zbadaj stertę książek	Оглянути стопку книг
Zbadaj worki	Оглянути мішки
Zbadaj kocioł	Оглянути котел
Zbadaj wina	Оглянути вина
Zbadaj kufer	Оглянути скриню
Zetnij krzaki	Скосити кущі
Przygotuj krzaki	Підготувати кущі
Podpal skrzynię	Підпалити скриньку
Zatruj zapasy	Отруїти запаси
Zapal pochodnię	Запалити смолоскип
Usiądź przy stole	Сісти за стіл
Schowaj ciało	Сховати тіло
Urządź dom	Прикрасити будинок
Zniszcz skrzynię z narzędziami	Знищити скриньку з інструментами
Wylej wabik na szczury	Вилийте приманку на щурів
Zabierz wielki kocioł	Взяти великий котел
Przeszukaj worki	Обшукати мішки
Napraw palisadę	Полагодити частокіл
Pchaj wóz	Штовхнути віз
Przeszukaj ognisko	Оглянути багаття
Wycinaj skórę niedźwiedzia	Вирізати шкуру ведмедя
Zniszcz łódkę Svena	Пошкодити човен Свена
Zniszcz łódkę Harolda	Пошкодити човен Гарольда
Zarzuć wędkę	Порибалити
Przesuń słomę dla Kyle'a	Підстелити солому для Кайла
Ustaw drabinę dla Kyle'a	Встановити сходи для Кайла
Napraw dach	Відремонтувати дах
Przewróć książkę	Перекинути книгу
Napij się mikstury	Випити зілля
Spróbuj otworzyć drzwi	Спробувати відчинити двері
Wylej wiadro wody	Вилити відро води
Odłóż wino	Поставити вино
Półka z winem	Винна полиця
Wrzuć perły	Кинути перли
Spal ciało	Спалити тіло
Wystrugaj wiosło	Зробити весло
Przeszukaj	Шукати
Naciśnij przycisk	Натиснути на кнопку
Otwórz wrota	Відкрити браму.
Pociągnij za dźwignię	Потягнути важіль
Alchemia	Алхімія
Astronomia	Астрономія
Historia	Історія
Literatura piękna	Фікція
Magia	Магія
Flora	Флора
Fauna	Фауна
Religia	Релігія
Skórzany mieszek	Шкіряний мішечок
Mikstura	Зілля
Zestrzel kamyk	Вистрілити в камінь
Strzel w głowę niedźwiedzia	Вистрілити в голову ведмедя
Strzel w cel	Вистрілити в ціль
Strzel w deski	Вистрілити у дошки
Strzel w podobiznę	Вистрілити у барельєф
Zwłoki	Труп
Szkielet	Скелет
Zwłoki Finbara	Труп Фінбара
Zwłoki górnika	Труп рудокопа
Zbadaj zwłoki	Оглянути труп
Zwłoki Hoda	Труп Хода
Zwłoki Normana	Труп Нормана
Zwłoki Caramona	Труп Карамона
Zwłoki Lorenzo	Труп Лоренцо
Zwłoki Ruuda	Труп Рууда
Zwłoki Vrazki	Труп Вразкі
Zwłoki Ruperta	Труп Руперта
Zwłoki Maiwen	Труп Мейвен
Zwłoki Darryla	Труп Дерріла
Zwłoki Saula	Труп Сола
Zwłoki	Труп
Zwłoki Malena	Труп Малена
Zwłoki agitatora Gerharda	Труп агітатора Герхарда
Zwłoki posłańca	Труп коваля
Truchło brzytwy	Мертвий бритвозуб
Zwłoki Tilla	Труп Тілля
Zwłoki Ursa	Труп Урса
Zwłoki Flory	Труп Флори
Zwłoki Timo	Труп Тімо
Zwłoki Lei	Труп Леї
Zwłoki Rudiego	Труп Руді
Zwłoki Allana	Труп Аллана
Zwłoki Sigunda	Труп Сігунда
Zwłoki Oscara	Труп Оскара
Zwłoki Vicenta	Труп Вісенте
Zwłoki Burkharda	Труп Буркхарда
Zwłoki Dinkiela	Труп Дінкеля
Zwłoki Roela	Труп Роела
Zwłoki Hilgera	Труп Хільгера
Zwłoki Harolda	Труп Харольда
Zwłoki Bolesa	Труп Болеса
Zwłoki Feila	Труп Феїла
Zwłoki Gaura	Труп Гаура
Zwłoki Bevina	Труп Бевіна
Zwłoki Arsa	Труп Арса
Zwłoki łuczarza	Труп лучника
Zwłoki Kurta	Труп Курта
Zwłoki Garosa	Труп Гароса
Zwłoki Oktava	Труп Октава
Zwłoki Fridy	Труп Фріди
Zwłoki Davisa	Труп Девіса
Zwłoki Fulko	Труп Фулко
Zwłoki Ingora	Труп Інгора
Zwłoki Odgara	Труп Одгара
Zwłoki Weigara	Труп Вейгара
Zwłoki Winstana	Труп Вінстана
Pod Kretoszczurem - Karczma	У Кротощура – Корчма
Syreni Lament - Karczma	Плач Сирени – Корчма
Pęknięta Struna - Karczma	Обірвана Струна – Корчма
Siostrzany Kociołek - Pracownia zielarska	Сестринський Казан – Майстерня травника
Krwawy Odwet - Rzeźnia	Кривава Відплата – Бойня
Złote Wrota - Sklep z różnościami	Золоті Ворота – 1000 Дрібниць
Na Tropie Bestii - Sklep łuczarski	По Сліду Звіра – Майстерня лучника
Kryjówka Korsarzy - Hotel	Схованка Корсара – Готель
Zew Ognia - Piekarnia	Поклик Вогню – Пекарня
Mroczny Paladyn - Browar	Темний Паладин – Перша приватна броварня
Trzech Marynarzy - Pracownia pisarska	Три Моряки - Писарська контора
Czas Decyzji - Urząd	Час Рішень – Офіс
Kuchnia Urycha - Kantyna	Кухня Уріха – Їдальня
Odłamek Świata - Zakład alchemiczny	Уламок Світу – Крамниця алхіміка
Insygnia - Pracownia krawiecka	Вищий Гатунок – Швейна майстерня
Wielka Wojna - Zakład płatnerski	Велика Війна – Майстерня зброяра
Czas Zapłaty - Lombard	Час Розплати – Ломбард
Trzeci Wojownik - Pracownia kowalska	Третій Воїн – Майстерня коваля
Z Życia Złodzieja - Pracownia ślusarska	З Життя Злодія – Слюсарна майстерня
Cienie Przeszłości - Muzeum	Тіні Минулого – Музей
Laguna - Łaźnia	Лагуна – Лазня
Dolina Złota - Pracownia jubilerska	Золота Долина – Ювелірна майстерня
Gwiazda Polarna - Pracownia astrologa	Полярна Зоря – Астрологічна майстерня
Austeria Ernesto - Karczma	Аустерія Ернесто – Готель
Dolina Świtu - Sklep meblowy	Долина Світанку – Меблевий магазин
Odyseja - Kartograf	Одіссея – Картограф
Mroczne Tajemnice - Zamtuz	Темні Секрети – Будинок розпусти
Zdarzenie Na Morzu - Stocznia	Випадок у Морі – Корабельня
Ostatnie Starcie - Pracownia kowalska	Останнє Зіткнення – Майстерня коваля
Podróżnik - Sklep z różnościami	Мандрівник – 1000 Дрібниць
Na Uchodźstwie - Zakład łuczarski	У Вигнанні – Майстерня лучника
Wojna Żywiołów - Pracownia cyrulika	Війна Стихій – Перукарня
Dom Lokvara	Будинок Локвара
Piekarnia	Пекарня
Rzeźnik	М'ясник
Kowal	Коваль
Warsztat łuczarski	Майстерня лучника
Do pasieki	До пасіки
Do miasta	До міста
Do zamku	До фортеці
Do winnicy	До виноградників
Do farmy Bermara	До ферми Бермара
Do obozu Pszczelarzy	До табору бджолярів
Do Ustroni Żeglarza	До Притулку Моряка
Do Bursztynowego Wybrzeża	До Бурштинового Узбережжя
Do wschodniej bramy miasta	До східних міських воріт
Do winnicy Valerio	До виноградника Валеріо
Do wioski Silbach	До села Сільбах
Do zachodniej bramy miasta	До західних міських воріт
Do Vardhal	До Вардхалу
Do kopalni Gildii Kupieckiej	До копальні Торгової Гільдії
Do klasztoru Magów Wody	До монастиря магів води
Do Mglistych Moczar	До Туманних Боліт
Do Kopalni Królewskiej	До Королівської Шахти
Do Wilczego Leża	До Вовчого Лігва
Do obozu drwali	До табору лісорубів
Do obozu węglarzy	До табору вугільників
Do winnicy Rity	До виноградника Ріти
Do wieży sygnałowej	До сигнальної вежі
Do Wybrzeża Topielców	До берега Луркерів
Do południowego bagna	До південного болота
Do bramy zachodniej	До західних воріт
Do bramy wschodniej	До східних воріт
Do kantoru Gildii Kupieckiej	До торгового посту Торгової Гільдії
Do kościoła Innosa	До храму Інноса
Do Dzielnicy Rzemieślników	До Ремісничого кварталу
Do koszar miejskich	До міських казарм
Do Starego Miasta	До Старого міста
Koszary miejskie, Stare Miasto	Міські казарми, Старе місто
Do portu wschodniego	До східної частини порту
Do portu zachodniego	До західної частини порту
Do kaplicy Adanosa	До храму Аданоса
Do stoczni	До корабельні
Do Targu Rybnego	До рибного ринку
Stocznia, Targ Rybny	Корабельня, рибний ринок
Do tawerny 'Syreni Lament'	До корчми 'Плач Сирени'
Do Mrocznych Tajemnic	До Темних Таємниць
Tawerna 'Syreni Lament', Mroczne Tajemnice	Корчма 'Плач сирени', Темні Секрети
Do Targowiska	До ринкової площі
Do ratusza miejskiego	До Ратуші
Do biura skryby miejskiego	До міської писарської контори
Do 'Pękniętej Struny'	До 'Обірваної струни'
Zejście do kanałów	Вхід в каналізацію
Wyjście do miasta - Gildia Kupiecka	Вихід до міста – Торгова Гільдія
Wyjście do miasta - Targowisko	Вихід до міста – Ринкова площа
Wyjście do miasta - Dzielnica Rzemieślników	Вихід до міста – Ремісничий квартал
Wyjście do miasta - Port	Вихід до міста - Гавань
Północna brama	Північні ворота
Wschodnia brama	Східні ворота
Zachodnia brama	Західні ворота
Południowa brama	Південні ворота
Uwaga!	Увага!
Niebezpieczeństwo!	НЕБЕЗПЕКА!
Sir William, Pan Silbach	Сер Вільям, лорд Зільбаха
Lady Aldona, Pani Silbach	Леді Альдона, леді Зільбаха
Hendrik	Хендрік
Flora	Флора
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Nieznany	Невідомий
Biedak	Бідняк
Żebrak	Жебрак
Biedaczka	Біднячка
Pijak	П'яниця
Pijaczka	П'яниця
Żona Albyna	Дружина Альбіна
Łaziebnik	Завідувач лазні
Ochroniarz	Охоронець
Alchemik	Алхімік
Szmugler	Койот
Przemytnik	Контрабандист
Starzec	Старець
Agitator	Агітатор
Astrolog	Астролог
Buntowniczy obywatel	Бунтар
Nierozgarnięty obywatel	Похмурий громадянин
Wściekły obywatel	Сердитий громадянин
Wściekła obywatelka	Сердита громадянка
Ogrodnik	Садівник
Wściekły rybak	Сердитий рибалка
Wściekły farmer	Сердитий фермер
Pracownik dźwigu	Кранівник
Człowiek Volkera	Людина Волкера
Zbir	Головоріз
Osiłek	Здоровань
Bandzior	Бандит
Włóczęga	Волоцюга
Bezdomny	Безхатько
Oślepiony	Сліпий
Podejrzany typ	Підозрілий чоловік
Podejrzany obywatel	Підозрілий громадянин
Tajemniczy osobnik	Загадковий чоловік
Nieznajomy	Незнайомець
Handlarz	Торговець
Kupiec	Торговець
Tajemniczy kupiec	Загадковий торговець
Wędrowny kupiec	Мандрівний торговець
Wędrowna handlarka	Мандрівна торговка
Podejrzana handlarka	Підозріла торговка
Zagadkowy wędrowiec	Загадковий мандрівник
Wędrowiec	Мандрівник
Podróżnik	Подорожній
Kurier	Кур'єр
Kopidół	Гробар
Pięściarz	Боксер
Nałogowy palacz	Завзятий курець
Hiena cmentarna	Розкрадач могил
Przywódca hien cmentarnych	Ватажок розкрадачів могил
Człowiek Ramseya	Людина Рамзі
Wilczy Syn	Вовчий Син
Pijany Wilczy Syn	П'яний Вовчий Син
Szalony Wilczy Syn	Скажений Вовчий Син
Zmartwiona obywatelka	Стурбована громадянка
Rozgniewana obywatelka	Сердита громадянка
Adorator	Шанувальник
Goniec Araxos	Перевізник Араксос
Przewoźnik	Перевізник
Przewodnik	Провідник
Strażnik Starego Miasta	Вартовий Старого Міста
Muzykant	Музикант
Rekrut	Новобранець
Złodziej	Злодій
Złodziej-partacz	Злодій-новачок
Uchodźca	Біженець
Uchodźczyni	Біженка
Pijany marynarz	П'яний моряк
Marynarz	Моряк
Domokrążca	Бродячий торговець
Poborca podatkowy	Колектор
Rybak	Рибалка
Kurtyzana	Куртизанка
Gwardzista	Гвардієць
Opiekun slumsów	Здоровань з гетто
Południowiec	Житель півдня
Nordmarczyk	Нордмарець
Łysy facet	Лисий чоловік
Recepcjonista	Адміністратор
Mag Ognia	Маг Вогню
Mag Wody	Маг Води
Szanowany obywatel	Шанований громадянин
Ambitny nowicjusz	Амбітний послушник
Aktywny nowicjusz	Активний послушник
Dziwny nowicjusz	Дивний послушник
Mistrz gry	Майстер гри
Lichwiarz	Лихвар
Szaleniec	Божевільний
Krawiec	Кравець
Instruktor	Інструктор
Szczurołap	Щуролов
Pobity farmer	Побитий фермер
Pobita farmerka	Побита фермерка
Handlarz różności	Продавець всякої всячини
Połykacz ognia	Пожирач вогню
Błazen	Блазень
Stary rybak	Старий рибалка
Pijany rybak	П'яний рибалка
Podpity rybak	Нетверезий рибалка
Sprzedawca ryb	Торговець рибою
Rybny kupiec	Торговець рибою
Gorliwy wyznawca	Ревний віруючий
Grabarz	Гробар
Kopacz	Рудокоп
Stary dziwak	Старий дивак
Kronikarz	Літописець
Tajemniczy Leonzo	Загадковий Леонцо
Kat	Кат
Handlarz jabłek	Торговець яблуками
Wdowa	Вдова
Zaginiony rybak	Зниклий рибалка
Węglarz	Вугляр
Drwal	Лісоруб
Podróżny	Подорожній
Pasterz	Вівчар
Łowca	Мисливець
Myśliwy	Загонич
Łotr	Лиходій
Wartownik	Вартовий
Nerwowy mężczyzna	Нервовий чоловік
Wyjątkowo podejrzany mężczyzna	Вкрай підозрілий чоловік
Duży Ben	Біг Бен
Lutniarz	Лютняр
Pszczelarz	Пасічник
Stary Liam	Старий Ліам
Renegat	Відступник
Herszt	Ватажок
Zbieg	Втікач
Pogromca Polnych Bestii	Приборкувач Польових Хижаків
Przeor Regen	Настоятель Реген
Strapiony mężczyzna	Стурбований чоловік
Hałaśliwy farmer	Галасливий фермер
Garnek	Горщик
Rozbitek	Робінзон
Mówca	Оповісник
Słuchacz	Слухач
Płatnerz	Зброяр
Stolarz	Столяр
Łowca nagród	Мисливець за головами
Pies gończy	Мисливський пес
Lider grupy	Лідер групи
Asystent Fulko	Помічник Фулько
Więzień	Ув'язнений
Desperat	Зневірений
Ranny strażnik	Поранений вартовий
Podejrzany uchodźca	Підозрілий біженець
Uwięziona dziewczyna	Ув'язнена дівчина
Wystraszona dziewczyna	Налякана дівчина
Manekin	Манекен
Stary pies	Старий пес
Kowal	Коваль
Kowal piratów	Коваль піратів
Kusznik	Арбалетник
Szermierz	Мечник
Strażnik skrzyń	Охоронець ящиків
Ranny uchodźca	Поранений біженець
Ranna uchodźczyni	Поранена біженка
Dziwny facet	Дивний чоловік
Miłośnik gier	Любитель ігор
Stary farmer	Старий фермер
Uciekinier	Втікач
Podejrzana obywatelka	Підозріла громадянка
Człowiek z blizną	Людина зі шрамом
Osobliwy obywatel	Незвичайний громадянин
Dziwny kucharz	Дивний кухар
Pijany bezdomny	П'яний безхатько
Biedna wdowa	Бідна вдова
Siepacz	Сіпач
Duch	Дух
Zjawa	Примара
Sprzątaczka	Покоївка
Piekarz	Пекар
Herold	Вісник
Człowiek Holdwiga	Людина Гольдвіга
Człowiek Andreasa	Людина Андреаса
Widz	Глядач
Zmartwiony obywatel	Стурбований громадянин
Zaniepokojony obywatel	Занепокоєний громадянин
Śliskoręki	Слизькорук
Mokry	Мокриня
Siekiernik	Сокирник
Mytnik	Колектор
Kanalarze	Каналізаційники
Kanalarz	Каналізаційник
Zbuntowany nowicjusz	Бунтівний послушник
Zimny	Мороз
Hiena	Гієна
Wdowa	Вдова
Puma	Пума
Prorok	Пророк
Wierny proroka	Послідовник пророка
Wściekły dzik	Скажений кабан
Przerośnięty ścierwojad	Падальник-переросток
Tłuścioch	Товстун
Twardziel	Міцний хлопець
Krwiożerca	Кровосос
Lodowy wilk	Крижаний вовк
Lodowe wilki	Крижані вовки
Niedźwiedź albinos	Ведмідь-альбінос
Śpiący cieniostwór	Сплячий мракорис
Chore szczury	Хворі щурі
Chory szczur	Хворий щур
Kryształowy golem	Кришталевий голем
Trolle górskie	Гірські тролі
Troll górski	Гірський троль
Smoki	Дракони
Smok	Дракон
Niepokojąca bestia	Тривожний звір
Szabrownik	Мародер
Łowca trolli	Мисливець на тролів
Urzędnik	Клерк
Kucharz	Кухар
Sprzedawca	Продавець
Dziewczyna	Дівчина
Zdezorientowany farmer	Розгублений фермер
Biedny farmer	Бідний фермер
Osadniczka	Поселенка
Ork-kusznik	Орк-арбалетник
Ork-elita	Елітний орк
Ork-herszt	Вождь орків
Ork-zwiadowca	Орк-розвідник
Ork-szaman	Орк-шаман
Ork-wojownik	Орк-воїн
Ork	Орк
Niedźwiedź	Ведмідь
Czarny niedźwiedź	Чорний ведмідь
Niedźwiedź Baesa	Ведмідь Байса
Biały niedźwiedź	Білий ведмідь
Oślizgły jaszczur	Слизький ящір
Owca	Вівця
Jagnię	Ягня
Baran	Баран
Jaszczur	Ящір
Bagienny jaszczur	Болотний ящір
Wielki nietoperz	Гігантський кажан
Krwiopijca	Шершень
Mały krwiopijca	Молодий шершень
Bagienny krwiopijca	Болотний шершень
Rzeczny krwiopijca	Річковий шершень
Błotniak	Болотна черепаха
Cieniostwór	Мракорис
Młody cieniostwór	Молодий мракорис
Olbrzymi szczur	Гігантський щур
Młody olbrzymi szczur	Молодий гігантський щур
Czarny szczur	Чорний щур
Młody czarny szczur	Молодий чорний щур
Topielec	Луркер
Stary topielec	Старий луркер
Wygłodniały topielec	Голодний луркер
Topielec morski	Морський луркер
Krab	Краб
Harpia	Гарпія
Harpia Alice	Гарпія Аліси
Czarna harpia	Чорна гарпія
Pełzacz	Повзун
Pełzacz-truteń	Повзун-трутень
Pełzacz-wojownik	Повзун-воїн
Pełzacz-żołnierz	Повзун-солдат
Pełzacz królewski	Королівський повзун
Zębacz	Снеппер
Przerośnięty zębacz	Снеппер-переросток
Szkielet-wojownik	Скелет-воїн
Szkielet	Скелет
Szkielet-skrytobójca	Скелет-вбивця
Pomniejszy szkielet	Малий скелет
Szkielet-łucznik	Скелет-лучник
Szkielet-kusznik	Скелет-арбалетник
Przyzwany szkielet	Викликаний скелет
Pomniejszy szkielet	Малий скелет
Szkielet-zwiadowca	Скелет-розвідник
Szkielet-goblin	Скелет-гоблін
Przeklęty szkielet-goblin	Проклятий скелет-гоблін
Przyzwany zębacz	Викликаний снеппер
Przeklęty zębacz	Проклятий снеппер
Przyzwany niedźwiedź	Викликаний ведмідь
Przyzwany szkielet-goblin	Викликаний скелет-гоблін
Polna bestia	Польовий хижак
Młoda polna bestia	Молодий польовий хижак
Leśna bestia	Лісовий хижак
Czarna leśna bestia	Чорний лісовий хижак
Ścierwojad	Падальник
Młody ścierwojad	Молодий падальник
Chory ścierwojad	Хворий падальник
Wycieńczony ścierwojad	Виснажений падальник
Szczur	Щур
Ogonek	Вогник
Upadły Paladyn	Полеглий паладин
Szkielet-paladyn	Скелет-паладин
Wąż morski	Хвилежер
Młody wąż morski	Молодий хвилежер
Wąż błotny	Болотожер
Arcydemon	Архідемон
Demon	Демон
Martwy demon	Мертвий демон
Przyzwany demon	Викликаний демон
Kamienny golem	Кам'яний голем
Przyzwany golem	Викликаний голем
Przebudzony golem	Пробуджений голем
Brzytwiak	Бритвозуб
Opancerzony brzytwiak	Броньований бритвозуб
Chrząszcz	М'ясний жук
Wilk	Вовк
Młody wilk	Молодий вовк
Ranny wilk	Поранений вовк
Głodny wilk	Голодний вовк
Głodny czarny wilk	Голодний чорний вовк
Młody głodny wilk	Молодий голодний вовк
Przywódca stada	Ватажок зграї
Przyzwany wilk	Викликаний вовк
Szkielet Wilczego Syna	Скелет Вовчого Сина
Strażnik grobowca	Страж склепу
Szkielet-mag	Скелет-маг
Nieumarły mag bitewny	Бойовий маг-нечисть
Nieumarły władca	Лорд нечисть
Dzik	Кабан
Młody dzik	Молодий кабан
Bagienny truteń	Болотний трутень
Ściekowy truteń	Каналізаційний трутень
Zombie	Зомбі
Bagienne zombie	Болотний зомбі
Kretoszczur	Кротощур
Młody kretoszczur	Молодий кротощур
Lodowy golem	Крижаний голем
Cmentarny golem	Могильний голем
Przebudzony golem	Пробуджений голем
Przeklęty golem	Проклятий голем
Magiczny golem	Магічний голем
Troll	Троль
Przeklęty troll	Проклятий троль
Młody troll	Молодий троль
Młody troll jaskiniowy	Молодий печерний троль
Troll jaskiniowy	Печерний троль
Troll bagienny	Болотний троль
Snopek siana	Копиця сіна
Czarny goblin	Чорний гоблін
Gobliński wojownik	Гоблін-воїн
Goblin	Гоблін
Gargulec	Гаргулья
Ognik	Примарний вогник
Orkowy pies	Орчий гончак
Polny pełzacz	Богомол
Polny pełzacz-wojownik	Богомол-воїн
Warg	Варг
Czarny wilk	Чорний вовк
Przeklęty wilk	Проклятий вовк
